id,name,front,back,shape,color,색상뒤
200902983,선콜정,T37,zzzzzz,9,14,zzzzzz
200903022,베리콜노즈정,|,SCD,9,14,zzzzzz
200903023,마그놀정,BPMA,zzzzzz,8,15,zzzzzz
200903040,덴티콤캡슐,SNPDTC,zzzzzz,9,10,파랑
200903043,리버파워포르테연질캡슐,SC200,zzzzzz,9,8,zzzzzz
200903044,본렉스이알캡슐15밀리그램(시클로벤자프린염산염),BonelaxER15mg,zzzzzz,9,12,주황
200903045,본렉스이알캡슐30밀리그램(시클로벤자프린염산염),BonelaxER30mg,zzzzzz,9,7,파랑
200903055,오메코프정,SCP,OC,10,15,zzzzzz
200903065,산도스올란자핀정10밀리그램,SZ,10,10,15,zzzzzz
200903066,올란프레서정10mg(올란자핀),SZ,10,10,15,zzzzzz
200903067,산도스올란자핀정5밀리그램,SZ,5,10,15,zzzzzz
200903068,올란프레서정5mg(올란자핀),SZ,5,10,15,zzzzzz
200903078,산도스올란자핀정2.5밀리그램,SZ,2.5,10,15,zzzzzz
200903080,올란프레서정2.5mg(올란자핀),SZ,2.5,10,15,zzzzzz
200903183,센트룸실버정,SELECT,W|2,8,6,zzzzzz
200903210,헤파피스연질캡슐,CGPHP,zzzzzz,9,9,zzzzzz
200903217,메펜연질캡슐(메페남산),메펜,zzzzzz,9,10,zzzzzz
200903247,센타민플러스연질캡슐,RPSTM,zzzzzz,9,11,zzzzzz
200903378,헤모퀸골드캡슐,KNHQ,zzzzzz,9,11,갈색
200903392,제로민연질캡슐(디펜히드라민염산염),제로민,zzzzzz,8,4,zzzzzz
200903395,비나코연질캡슐,비나코,zzzzzz,9,10,zzzzzz
200903409,리피다운캡슐120밀리그램(오르리스타트),HanmiLipidown120,zzzzzz,9,10,파랑
200903482,비오펜연질캡슐(덱시부프로펜),DCD,zzzzzz,8,8,zzzzzz
200903579,카이로정,T32,|,9,15,zzzzzz
200903580,덴탈에프정(옥수수불검화정량추출물),Tzzzzzz32,zzzzzz,10,12,zzzzzz
200903585,마이에신캡슐(은교산),마이에신마이에신,zzzzzz,9,11,하양
200901403,미카몰정,T23,MT,9,15,zzzzzz
200901575,행심연질캡슐(은행엽건조엑스),DzzzzzzWGT,zzzzzz,8,8,zzzzzz
200901619,알룬정,HS1,zzzzzz,8,14,zzzzzz
200901620,미니메이드정(수출용),NK,zzzzzz,8,14,zzzzzz
200901818,리버플란연질캡슐,리버플란,zzzzzz,9,11,zzzzzz
200902147,에코닉신정(클로닉신리시네이트),ECX,zzzzzz,10,12,zzzzzz
200902192,토넥스포르테캡슐,TONEXzzzzzzF,zzzzzz,9,7,빨강
200902207,헤파라이프연질캡슐350mg(밀크시슬열매건조엑스),ETXHzzzzzzL,zzzzzz,9,11,zzzzzz
200902212,비타마인연질캡슐,VITAMINE,zzzzzz,9,8,zzzzzz
200902301,그날엔정,NKYUNGDONG,zzzzzz,10,15,하양
200902328,자베스카캡슐100밀리그램(미글루스타트),OGT918100,zzzzzz,9,15,하양
200902364,이프렌에스연질캡슐(덱시부프로펜),SJDX,zzzzzz,9,4,zzzzzz
200902452,맥스비타플러스정,GHT,zzzzzz,8,12,zzzzzz
200902506,에델피스연질캡슐(디펜히드라민염산염),SJED,zzzzzz,8,4,zzzzzz
200902577,제이에스콜드정,CORE,zzzzzz,9,14,zzzzzz
200902743,오메콜캡슐,SCPOM,zzzzzz,9,10,하양
200902749,리드비타큐정,GHT,zzzzzz,8,7,zzzzzz
200902791,비타엔큐연질캡슐,DzzzzzzWVQ,zzzzzz,9,11,zzzzzz
200902801,카페그린정,SCP,DL,8,10,zzzzzz
200902805,트리답티브정,552,zzzzzz,9,15,zzzzzz
200902876,코프노캡슐,BTOCN,zzzzzz,9,13,노랑
200902884,이젠이캡슐,이젠이이젠이,zzzzzz,9,10,파랑
200701086,스프라이셀정50밀리그램(다사티닙),BMS,528,8,15,zzzzzz
200403661,에너지톤연질캡슐,RPENT,zzzzzz,9,11,zzzzzz
200704968,토핀정25밀리그램(토피라메이트),|N,25,10,15,zzzzzz
200202184,디스톤골드연질캡슐,FTzzzzzzCRE,zzzzzz,9,11,zzzzzz
200202185,콘로친300연질캡슐,FTzzzzzzC300,zzzzzz,9,11,zzzzzz
200709387,케티맥스정100밀리그램(푸마르산쿠에티아핀),SZ,231,10,13,zzzzzz
200302360,헤모윈연질캡슐,RPHPI,zzzzzz,9,11,zzzzzz
200102789,잔타놀정,CAZT,zzzzzz,9,15,zzzzzz
200402892,푸로콜에스캡슐,ALPHA,zzzzzz,9,11,갈색
200101589,에코리자정,SJZ,|,9,15,zzzzzz
200101951,한신타미놀캅셀(아세트아미노펜),TAMINOL,zzzzzz,9,15,하양
200201781,아스노캅셀,ASNKDC,zzzzzz,9,13,노랑
200705825,아토스타정10밀리그램(아토르바스타틴칼슘삼수화물),DzzzzzzW,AT1,8,15,zzzzzz
200500735,비텐지연질캡슐,DzzzzzzWB10,zzzzzz,9,11,zzzzzz
200600140,라시핀정(라시디핀),W|K,R|D,8,15,zzzzzz
200607723,포스펜정,J|W,zzzzzz,9,15,zzzzzz
200612598,보령세파클러캡슐(세파클러수화물),BRCCL,zzzzzz,9,10,하양
200806047,리피다운캡슐60밀리그램(오르리스타트),HanmiLipidown60,zzzzzz,9,10,파랑
200808168,아지탑스정250밀리그램(아지트로마이신수화물),IDPa,zzzzzz,8,15,zzzzzz
200808280,수마트란정50밀리그램(수마트립탄숙신산염),SMT50,zzzzzz,9,14,zzzzzz
200808340,바로디핀정5밀리그램(암로디핀베실산염),VD|5,zzzzzz,6,15,zzzzzz
200808561,아네페질속붕정(도네페질염산염일수화물),DWP,D10,10,15,zzzzzz
200808653,사르반정80밀리그램(발사르탄),S|V,zzzzzz,10,14,zzzzzz
200808753,레보텍캡슐(레보드로프로피진),IHPLV,zzzzzz,9,11,노랑
200903697,로비텐연질캡슐,로비텐,zzzzzz,8,11,zzzzzz
200903698,맥스콜연질캡슐,맥스콜,zzzzzz,9,7,zzzzzz
200903727,속콜파워연질캡슐(수출용),SOKOLPW,zzzzzz,9,12,zzzzzz
200903737,쿨드림연질캡슐(디펜히드라민염산염),쿨드림,zzzzzz,8,4,zzzzzz
200903776,긴코센정120밀리그램(은행엽건조엑스),TG120,zzzzzz,10,8,zzzzzz
200903782,칼루타미정150밀리그램(비칼루타미드),CKD,150,10,15,zzzzzz
200903829,씨탈정(에스시탈로프람옥살산염),C|E,zzzzzz,8,15,zzzzzz
200903830,미가드정2.5밀리그램(프로바트립탄숙신산염일수화물),m,2.5,10,15,zzzzzz
200903837,마이녹실에스캡슐,현대약품마이녹실S,zzzzzz,9,7,노랑
200903842,비알칸다플러스정,H|C,|,9,14,zzzzzz
200903850,변락소정,T33,zzzzzz,10,13,zzzzzz
200903851,콜리브정,KPP,CLV,9,15,zzzzzz
200903876,지르세틴정10밀리그램(세티리진염산염),T|Z,zzzzzz,8,13,zzzzzz
200903912,디펜에이정,RAPHAzzzzzzM,RA|DA,9,12,zzzzzz
200903964,로큅정0.25밀리그램(로피니롤염산염),D.W,0,3,15,zzzzzz
200903969,칼인비연질캡슐,HMP8,zzzzzz,9,8,zzzzzz
200903974,칸데모어정16밀리그램(칸데사르탄실렉세틸),C|16,CKD,10,14,zzzzzz
200903986,코큐모아연질캡슐,RPCQM,zzzzzz,9,11,zzzzzz
200903987,칼본큐포르테플러스연질캡슐,RPCQP,zzzzzz,9,11,zzzzzz
200903993,로큅정1밀리그램(로피니롤염산염),D.W,1,3,9,zzzzzz
200904003,덴타칸캡슐,NKDTC,zzzzzz,9,10,파랑
200904019,바로자미연질캡슐(디펜히드라민염산염),YJzzzzzzS,zzzzzz,8,4,zzzzzz
200904073,알벤프리졸정(알벤다졸),GHA,zzzzzz,9,12,zzzzzz
200904082,로노펜300연질캡슐(덱시부프로펜),RNP,zzzzzz,8,8,zzzzzz
200904122,이모돌정(옥수수불검화정량추출물),HNE,zzzzzz,9,12,zzzzzz
200904162,칸데플러스정,HSC,zzzzzz,9,12,zzzzzz
200905961,프릴리지정60밀리그램(다폭세틴염산염),zzzzzz,zzzzzz,10,6,zzzzzz
200906066,프로코라란정5밀리그램(이바브라딘염산염),5,zzzzzz,8,12,zzzzzz
200906065,프로코라란정7.5밀리그램(이바브라딘염산염),7.5,zzzzzz,5,12,zzzzzz
200906578,뉴피오정(피오글리타존염산염),HN,15,10,15,zzzzzz
200905935,칸다이플러스정,K|WJ,|,8,12,zzzzzz
200906062,페이론캡슐(아미노벤조산칼륨),PEYRON,zzzzzz,9,15,하양
200905938,레복사신정250밀리그램(레보플록사신수화물),HM,250,9,14,zzzzzz
200906061,피륵산정200밀리그램(부플로메딜인산피리독살),P|P,zzzzzz,9,13,zzzzzz
200905692,클라리틴정(로라타딘),|10,zzzzzz,8,15,zzzzzz
200905939,세자르플러스프로정(로사르탄칼륨|히드로클로로티아지드),3CZ,|,8,15,zzzzzz
200905876,칸데사플러스정,K|PP,|,9,12,zzzzzz
200905929,애드릴정5밀리그램(이미다프릴염산염),5,zzzzzz,10,15,zzzzzz
200905644,베리콜콜드캡슐,SCDBC,zzzzzz,9,7,빨강
200906079,에피스캡슐,CHOzzzzzzAAPP,zzzzzz,9,7,빨강
200906023,키드업정,zzzzzz,zzzzzz,8,14,zzzzzz
200905591,판토마그정,KN2,zzzzzz,9,15,zzzzzz
200906073,트랜미정,T7,zzzzzz,10,15,zzzzzz
200905776,써큐징코연질캡슐(수출용),SQ,zzzzzz,8,11,zzzzzz
200905600,로페란캡슐,HTLPR,zzzzzz,9,13,하양
200905651,이모나에프캡슐(수출용),NF,zzzzzz,9,10,파랑
200905675,큐크린정,SL,CL,10,13,zzzzzz
200905551,콘탑정,CTT,zzzzzz,9,11,zzzzzz
200905597,덱시쿨펜연질캡슐(덱시부프로펜),KNDS,zzzzzz,8,14,zzzzzz
200905601,메디큐텐정,PP,Q10,9,11,zzzzzz
200905926,러지펜정,DID,250,10,13,zzzzzz
200905479,비타모니에이스연질캡슐,비타모니ACE,zzzzzz,9,11,zzzzzz
200905514,비타올큐연질캡슐,VTAzzzzzzQ,zzzzzz,9,11,zzzzzz
200905586,쎌크비타연질캡슐(수출용),BTO,zzzzzz,9,2,zzzzzz
200905472,덱시카이플러스연질캡슐(덱시부프로펜),덱시카이+,zzzzzz,8,8,zzzzzz
200905927,메타러정,WK79,zzzzzz,9,15,zzzzzz
200905562,토코네슘연질캡슐,토코네슘,zzzzzz,9,11,zzzzzz
200905653,알지엔스피드연질캡슐10밀리그램(세티리진염산염),RZN,zzzzzz,8,5,zzzzzz
200906592,아스몬츄정5밀리그램(몬테루카스트나트륨),PHD471,MOK5,10,14,zzzzzz
200906608,산도스프라미펙솔정0.25밀리그램(프라미펙솔염산염),S|Z,17|4,8,15,zzzzzz
200906613,에스케이코스카플러스프로정,SK,745,8,15,zzzzzz
200906602,원살탄플러스프로정,DWP,LSO,8,15,zzzzzz
200906611,산도스프라미펙솔정1밀리그램(프라미펙솔염산염),S|Z,17|6,10,15,zzzzzz
200906599,라파뮨정2밀리그램(시롤리무스),RAPAMUNE2mg,zzzzzz,5,13,zzzzzz
200906610,산도스프라미펙솔정0.5밀리그램(프라미펙솔염산염),S|Z,17|5,8,15,zzzzzz
200906585,레보세린정(레보세티리진염산염),L,Y,8,15,zzzzzz
200906588,아스몬츄정4밀리그램(몬테루카스트나트륨),PHD471,MOK4,8,14,zzzzzz
200906557,리비알정(티볼론),ORGANON★,MK2,10,15,zzzzzz
200906593,제니낙스정200밀리그램(가레녹사신메실산염수화물),263,200mg,6,12,zzzzzz
200906609,산도스프라미펙솔정0.125밀리그램(프라미펙솔염산염),SZ,173,10,15,zzzzzz
200906584,일양로자탄플러스프로정,LPP,IY,8,15,zzzzzz
200906540,로나센정2밀리그램(블로난세린)/로나센정4밀리그램(블로난세린),zzzzzz,L2,10,15,zzzzzz
200906528,로핀플러스프로정,LPP,|,8,15,zzzzzz
200906531,로펜정(방풍통성산건조엑스(4.6→1)),KN1,|,0,12,zzzzzz
200906473,훼리너프에프캡슐,훼리너프F,zzzzzz,9,11,갈색
200906384,케라민캡슐,KRMTHP,zzzzzz,9,13,노랑
200906497,씨렉신캡슐(은교산건조엑스8.16→1),씨렉신씨렉신,zzzzzz,9,12,노랑
200906462,솔라제정(프로나제B),CΛ,zzzzzz,10,15,zzzzzz
200906274,에피니틴캡슐,KAPTS,zzzzzz,9,7,빨강
200906105,모아리버골드연질캡슐,HMC15,zzzzzz,9,11,zzzzzz
200906301,덴탑플러스캡슐,덴탑플러스덴탑플러스,zzzzzz,9,7,빨강
200906254,알러샷연질캡슐(세티리진염산염),AzzzzzzS,zzzzzz,8,5,zzzzzz
200906719,쎄로켈서방정150밀리그램(쿠에티아핀푸마르산염),XR150,zzzzzz,9,15,zzzzzz
200906794,씨렉신정(은교산연조엑스4.08→1),CTB,zzzzzz,9,9,zzzzzz
200906642,더마화이트정,T,C,10,15,zzzzzz
200907189,클라빅신정(클로피도그렐황산수소염),UT,CL,10,14,zzzzzz
200907170,제이더블유신약로잘탄플러스프로정,PRO,CWP,8,15,zzzzzz
200906974,산도스에스시탈로프람정10밀리그램(에스시탈로프람옥살산염),S|Z,119,8,15,zzzzzz
200904481,베어비타정,AzzzzzzV,D.W,8,13,zzzzzz
200907385,에키나포스프로텍트정,ECP,zzzzzz,10,13,zzzzzz
200907381,쎌크존연질캡슐,RPzzzzzzSZ,zzzzzz,9,8,zzzzzz
200904492,바이라민골드플러스정,V+,zzzzzz,8,13,zzzzzz
200907669,리노반10캡슐(시부트라민말레산염),RNV10,zzzzzz,9,10,노랑
200907725,비스칸엔캡슐(바실루스리케니포르미스균),NXK,zzzzzz,9,15,하양
200907722,화이트프로젝트정,zzzzzz,W1,10,15,zzzzzz
200904403,젠스큐민연질캡슐,RPZSQ,zzzzzz,9,11,zzzzzz
200907771,도파로핀정1밀리그램(로피니롤염산염),ID1,zzzzzz,3,10,zzzzzz
200904163,칸단테플러스정16/12.5mg,|CS,|,8,12,zzzzzz
200904164,메토신필름코팅정,AC,MT,9,15,zzzzzz
200904168,헵타바캡슐,HEPTAVA,zzzzzz,9,7,빨강
200904234,아나탄플러스정,AJU,AFT,9,14,zzzzzz
200904235,칸세틸플러스정,SP|CS,|,9,14,zzzzzz
200904236,칸자탄플러스정,SEL,C|H,8,14,zzzzzz
200904630,원스에어정10밀리그램(몬테루카스트나트륨),PHD471,MOK10,7,12,zzzzzz
200904514,발사벨정40밀리그램(발사르탄),V|4,CKD,8,13,zzzzzz
200904344,고려칸데사르탄플러스정(칸데사르탄실렉세틸|히드로클로로티아지드),KDC,C|H,9,12,zzzzzz
200904536,아피니토정5밀리그램(에베로리무스),NVR,5,9,15,zzzzzz
200904343,카바딜플러스정16/12.5mg,zzzzzz,C|H,8,12,zzzzzz
200904307,버퍼린플러스정,BU,zzzzzz,10,15,zzzzzz
200904308,맥스타제zzzzzz에스정,YPMS,zzzzzz,9,15,zzzzzz
200904391,핑크프로캡슐,PKCPKC,zzzzzz,9,7,노랑
200904390,콜디콜캡슐,BTOCDF,zzzzzz,9,13,노랑
200904372,리세바플러스연질캡슐,zzzzzz,zzzzzz,8,11,zzzzzz
200904406,아이텐연질캡슐,아이텐,zzzzzz,8,3,zzzzzz
200904404,헤모웰연질캡슐,RPHMW,zzzzzz,8,11,zzzzzz
200904417,지메톨연질캡슐(옥수수불검화정량추출물),ZMT,zzzzzz,8,12,zzzzzz
200904441,프로펜디연질캡슐(덱시부프로펜),프로펜디,zzzzzz,9,13,zzzzzz
200904460,실리세프연질캡슐350밀리그램(밀크시슬열매건조엑스),실리세프,zzzzzz,9,11,zzzzzz
200904477,베어타민정,Vzzzzzz7,zzzzzz,9,14,zzzzzz
200904507,다이락스zzzzzz큐정,CΛ,zzzzzz,10,9,zzzzzz
200904517,하이점프츄어블정,zzzzzz,zzzzzz,5,14,zzzzzz
200904516,쥬르택정(세티리진염산염),CΛJ,|,9,15,zzzzzz
200904538,다비움정,C|S,|,9,14,zzzzzz
200904547,헵타마인플러스연질캡슐,헵타마인P,zzzzzz,8,11,zzzzzz
200904560,폴리아린캡슐,알리코폴리아린,zzzzzz,9,13,노랑|옅은
200904583,마이덴트파워캡슐,대웅DT,zzzzzz,9,10,파랑|진한
200904590,토마스연질캡슐,TOMAS,zzzzzz,9,11,zzzzzz
200904622,셀레토코플러스연질캡슐,셀레토코P,zzzzzz,9,11,zzzzzz
200904652,덱스모아연질캡슐(덱시부프로펜),WalC47,zzzzzz,8,8,zzzzzz
200904644,콘트라스300연질캡슐,콘트라스,zzzzzz,8,11,zzzzzz
200904655,리버큐연질캡슐(밀크시슬열매건조엑스),리버큐,zzzzzz,9,8,zzzzzz
200904666,아르텍연질캡슐10mg(세티리진염산염),아르텍,zzzzzz,8,5,zzzzzz
200904349,타미린서방정8밀리그램(갈란타민브롬화수소산염),HDP,G8,10,15,zzzzzz
200904340,타미린서방정16밀리그램(갈란타민브롬화수소산염),HDP,G16,10,14,zzzzzz
200904275,타진서방정10/5mg,OXN,10,9,15,zzzzzz
200904276,타진서방정20/10mg,OXN,20,9,14,zzzzzz
200904420,박사르정4밀리그램(라시디핀),G|S,3|MS,8,15,zzzzzz
200904419,박사르정2밀리그램(라시디핀),2,zzzzzz,10,15,zzzzzz
200904346,로킨스정1밀리그램(로피니롤염산염),zzzzzz,1,3,9,zzzzzz
200904629,도파프로정0.25밀리그램(로피니롤염산염),025,JI,3,15,zzzzzz
200904345,로킨스정0.25밀리그램(로피니롤염산염),zzzzzz,0,3,15,zzzzzz
200904585,도파프로정1.0밀리그램(로피니롤염산염),I,JI,3,9,zzzzzz
200904640,뉴큅정1밀리그램(로피니롤염산염),YH,1,3,9,zzzzzz
200904641,뉴큅정0.25밀리그램(로피니롤염산염),YH,025,3,15,zzzzzz
200904422,아스몬정10밀리그램(몬테루카스트나트륨),PHD471,MOK10,7,12,zzzzzz
200904535,아피니토정10밀리그램(에베로리무스),NVR,UHE,9,15,zzzzzz
200904445,페브릭정80밀리그램(페북소스타트),80,|,9,13,zzzzzz
200904359,칸탄플러스정,HG|CT,|,9,12,zzzzzz
200905216,파키놀정0.25밀리그램(로피니롤염산염),PA,zzzzzz,3,15,zzzzzz
200904890,카데탄플라스정,K|S,C|C,9,14,zzzzzz
200905339,렉사프로정20밀리그람(에스시탈로프람옥살산염),E|N,zzzzzz,8,15,zzzzzz
200905270,이리보정5마이크로그램(라모세트론염산염),zzzzzz5,zzzzzz,10,13,zzzzzz
200904978,브렌콜연질캡슐,브렌콜,zzzzzz,9,12,zzzzzz
200905056,쿡콜연질캡슐,쿡콜,zzzzzz,9,10,zzzzzz
200905107,모드콜플러스캡슐,CKDMODCOL+,zzzzzz,9,12,주황
200905166,슈티린정,CTH,zzzzzz,9,13,zzzzzz
200905128,큐엔타민골드연질캡슐,QTG,zzzzzz,9,7,zzzzzz
200905377,데일리원정,PP,WD,9,11,zzzzzz
200905349,진페리시정,HMJ,zzzzzz,10,14,zzzzzz
200905283,쎄이네슘연질캡슐,HMC8,zzzzzz,9,11,zzzzzz
200905124,니퀴틴민트트로키4밀리그램(니코틴폴라크리렉스),NL4S,zzzzzz,10,15,zzzzzz
200905144,복합유디리버연질캡슐,복합유디리버,zzzzzz,8,11,초록
200905195,헤모탑플러스연질캡슐,HTC,zzzzzz,9,11,zzzzzz
200905003,리드큐텐연질캡슐,HMC9,zzzzzz,9,11,zzzzzz
200904934,코펜콜연질캡슐,코펜콜,zzzzzz,9,8,zzzzzz
200904950,간보왕연질캡슐,간보왕,zzzzzz,9,11,zzzzzz
200904678,은엑손플러스연질캡슐(은행엽엑스),E120,zzzzzz,8,8,zzzzzz
200904681,메토씨정(메토카르바몰),CA,MT,9,12,zzzzzz
200904916,트러코연질캡슐,BORAM,zzzzzz,9,8,zzzzzz
200905016,이탄탄큐캡슐(수출용),MTS이탄탄큐,zzzzzz,9,8,초록
200905055,디퓨텐연질캡슐(덱시부프로펜),디퓨텐,zzzzzz,8,13,zzzzzz
200904935,제이콜연질캡슐,제이콜,zzzzzz,8,8,zzzzzz
200905074,케라스트캡슐,MNTKRT,zzzzzz,9,8,노랑
200905320,알피엠이튼프러스캡슐,이튼프러스,zzzzzz,9,10,파랑
200905123,니퀴틴민트트로키2밀리그램(니코틴폴라크리렉스),NL2S,zzzzzz,10,15,zzzzzz
200905264,린피스정(아스피린),YAS,zzzzzz,10,14,zzzzzz
200905313,셀크빈연질캡슐,FTL,zzzzzz,9,11,zzzzzz
200905360,코디콜캡슐,PPCC,zzzzzz,9,9,연두
200905023,로페도캡슐,MTS로페도,zzzzzz,9,13,노랑
200905109,매일비타정,PP,MV,9,11,zzzzzz
200905221,아세리돈정(수출용),iksu,zzzzzz,9,15,zzzzzz
200905288,안티진에이스연질캡슐,RPzzzzzzA,zzzzzz,8,8,zzzzzz
200905423,마그롤연질캡슐,마그롤,zzzzzz,9,11,zzzzzz
200905017,이탄탄플러스캡슐,MTSETTP,zzzzzz,9,8,초록
200905407,말펜zzzzzz에스정,SRP,|,9,15,zzzzzz
200904880,멜린씨정,ETX,zzzzzz,9,11,zzzzzz
200905151,액티리버모닝연질캡슐(밀크시슬열매건조엑스),ATLzzzzzzM,zzzzzz,9,8,zzzzzz
200905198,넥스핀정(아스피린),NKY,zzzzzz,10,14,zzzzzz
200905217,영빅스캡슐,YJPYVX,zzzzzz,9,7,빨강
200905220,자로펜정,AC,MO,9,10,zzzzzz
200905401,넥쿨연질캡슐,BORAM,zzzzzz,8,4,zzzzzz
200904697,리버텍트골드연질캡슐,HKLG,zzzzzz,9,11,zzzzzz
200905188,메가조인정,CTI,zzzzzz,9,13,zzzzzz
200905215,비오코딜정,SI,zzzzzz,10,9,zzzzzz
200904979,비버스정,T30,|,9,12,zzzzzz
200905068,시노카에프연질캡슐,시노카F,zzzzzz,8,8,zzzzzz
200904774,세티린정(세티리진염산염),K|N,11,8,13,zzzzzz
200905962,프릴리지정30밀리그램(다폭세틴염산염),zzzzzz,zzzzzz,10,6,zzzzzz
201001640,영토넬정150mg(리세드론산나트륨2.5수화물),YRS,zzzzzz,8,10,zzzzzz
201001637,리스넬정150밀리그램(리세드론산나트륨일수화물),R150,YH,9,10,zzzzzz
201001656,발라실정500밀리그램(발라시클로비르염산염수화물),VAL,YJP,9,15,zzzzzz
201001684,라모스탈정50밀리그램(라모트리진),M|I,50,7,13,zzzzzz
201001699,큐로켈정25밀리그램(쿠에티아핀푸마르산염),Q25,MI,10,14,zzzzzz
201001682,레보텐션정5밀리그램(에스암로디핀베실산염2.5수화물),A|G,LT5,0,12,zzzzzz
201001683,텔미스정40mg(텔미사르탄),zzzzzz,T|11,10,15,zzzzzz
201001685,텔미스정80mg(텔미사르탄),zzzzzz,T|12,10,15,zzzzzz
201001737,티자리드정1밀리그람(티자니딘염산염),Y|Z,zzzzzz,10,15,zzzzzz
201001733,몬테레어츄정4밀리그램(몬테루카스트나트륨),MM,MTC4,8,14,zzzzzz
201001723,큐로스트츄정4밀리그램(몬테루카스트나트륨),AG,MT4,8,14,zzzzzz
201001728,멀택정(드로네다론염산염),4142,zzzzzz,9,15,zzzzzz
201001707,유니발탄정80밀리그램(발사르탄),DIL,W|I,10,14,zzzzzz
201001745,로디엔정5밀리그램(에스암로디핀니코틴산염),H|L,SX,3,15,zzzzzz
201001744,딜라트렌에스알캡슐64밀리그램(카르베딜롤),Dila64mgSR,zzzzzz,9,15,하양
